Order,Seasonal_Order,AIC,BIC
"(1, 0, 2)","(0, 0, 2, 12)",2985.8510285915663,3011.292683662591
"(1, 0, 2)","(0, 1, 0, 12)",3078.969083581725,3096.0226766320916
"(1, 0, 2)","(0, 1, 1, 12)",2777.9376031986494,2799.1389824245034
"(1, 0, 2)","(0, 1, 2, 12)",2676.9706796687396,2702.2703162752487
"(1, 0, 2)","(0, 2, 0, 12)",3523.767066819404,3540.7281702000873
"(1, 0, 2)","(0, 2, 1, 12)",2977.2854035915816,2998.368434097006
"(1, 0, 2)","(0, 2, 2, 12)",2708.1440062892552,2733.2981812261046
"(1, 0, 2)","(1, 0, 0, 12)",3092.580202781041,3113.916205523748
"(1, 0, 2)","(1, 0, 1, 12)",2857.493529221485,2883.073918797035
"(1, 0, 2)","(1, 0, 2, 12)",2774.5727209192382,2804.254651835434
"(1, 0, 2)","(1, 1, 0, 12)",2924.3284491060035,2945.549283609322
"(1, 0, 2)","(1, 1, 1, 12)",2778.557677910253,2803.999332981278
"(1, 0, 2)","(1, 1, 2, 12)",2677.1907760300455,2706.7070187376394
"(1, 0, 2)","(1, 2, 0, 12)",3216.981723811029,3238.0846746615275
"(1, 0, 2)","(1, 2, 1, 12)",2897.3898793673416,2922.6895159738506
"(1, 0, 2)","(1, 2, 2, 12)",2708.6835015652114,2738.0300389915355
"(1, 0, 2)","(2, 0, 0, 12)",2926.399599387595,2951.8646007915777
"(1, 0, 2)","(2, 0, 1, 12)",2792.6074511595857,2822.3166194642317
"(1, 0, 2)","(2, 0, 2, 12)",2775.9138450325718,2809.8360517939377
"(1, 0, 2)","(2, 1, 0, 12)",2778.3426074135473,2803.6661484341457
"(1, 0, 2)","(2, 1, 1, 12)",2691.829718771037,2721.373849961735
"(1, 0, 2)","(2, 1, 2, 12)",2675.0606770008535,2708.7935258095326
"(1, 0, 2)","(2, 2, 0, 12)",3012.2270188940174,3037.4056836607847
"(1, 0, 2)","(2, 2, 1, 12)",2770.394580503552,2799.7696893981133
"(1, 0, 2)","(2, 2, 2, 12)",2711.6057320933405,2745.1446320091395
"(1, 1, 0)","(0, 0, 0, 12)",3251.5826772846594,3260.158394404983
"(1, 1, 0)","(0, 0, 1, 12)",3115.008842240189,3127.804745878402
"(1, 1, 0)","(0, 0, 2, 12)",3027.6157790523657,3044.5846721141866
"(1, 1, 0)","(0, 1, 0, 12)",3201.8574319137115,3210.388034339187
"(1, 1, 0)","(0, 1, 1, 12)",2852.1063148301887,2864.832984626554
